"","year","I1","I2","I3","I4","I5","I6","I","var","sd"
"1",1985,0.06,369.47,80.47,3.79,2.29,0.03,456.11,NA,NA
"2",1986,0,59.37,158.06,21.29,0.71,0.31,239.74,NA,NA
"3",1987,0,88.11,18.25,38.9,3.89,0.15,149.3,NA,NA
"4",1988,11.46,320.16,55.27,8.19,12.69,1.23,409,NA,NA
"5",1989,2.93,270.01,82.43,9.53,0.37,0.73,366,NA,NA
"6",1990,14.86,273.57,130.98,43.2,1.39,0,464,NA,NA
"7",1991,9.93,4.08,1.71,0.26,0.03,0,16.01,NA,NA
"8",1992,3.38,11.28,3.87,0.44,0.03,0,19,NA,NA
"9",1993,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1994,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1996,0.09,1.84,1.03,0.04,0,0,3,NA,NA
"13",1997,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1998,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1999,0.5304464516169,6.5356159590366,6.9553950009234,0.6755746813731,0,NA,14.69703209295,11.1658222894991,3.34152993245596
"16",2000,0.6006158474339,5.6402052573996,1.3336515600712,0.3969860318068,0.0527870267521,NA,8.0242457234636,4.67604914000458,2.16241742963855
"17",2001,0,6.7902888044669,2.9648965474624,0.3029699902541,0.0130204670925,NA,10.0733275873296,7.61572208986408,2.75965977791902
"18",2002,0.109206379024,3.5033438446881,2.3017949932677,0.2965914550924,0.0176005121633,NA,6.255751387375,2.2300433927413,1.49333298120054
"19",2003,1.7756439522917,4.593119428386,1.9782574619853,0.488211924207,0,NA,9.2886975226248,2.84543153422824,1.68684069616198
"20",2004,0.01416575457,8.4375136388628,2.2926221374784,0.4390465608638,0,NA,11.18413507814,11.1586472534923,3.34045614452461
"21",2005,0.631371561318,2.6976613914719,2.2869904797733,0.4879713844688,0.0495361651354,NA,6.1535309821674,1.3671823596708,1.16926573526756
"22",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2007,4.97919484249,19.314593689798,3.5223056445888,0.3185633632257,0,NA,28.1346575401025,55.6855075737229,7.46227227952203
"24",2008,4.23242812625,9.596565718664,6.8383913676671,0.7791143465785,0.006816931758,NA,21.4533164909176,16.13414376525,4.01673297161387
"25",2009,3.6529166816068,18.1228183337074,6.0748856910648,0.493732916422,0,NA,28.344353622801,49.0055911885039,7.00039935921543
"26",2010,0.1876156259895,1.1660233215435,0.6047768648381,0.0129193408151,0,NA,1.9713351531862,0.222607652148931,0.47181315385323
"27",2011,1.3191608592071,12.6439827819753,4.6917409327982,0.5859616539337,0.04948599564,NA,19.2903322235543,24.3898465303283,4.93860775222414
"28",2012,0.5058558047192,16.2549685315304,1.95007455724,0.1639281824318,0,NA,18.9305115152197,41.7170556672275,6.45887417954766
"29",2013,6.3035363421743,25.001039387975,18.5311260771458,0.8329054814077,0,NA,50.6686072887028,123.855338302216,11.1290313281173
"30",2014,18.0279288515743,80.2023777729325,7.6650692860657,0.9239655081066,0,NA,106.819341418679,1133.74006957647,33.671056852681
"31",2015,9.5716087865721,23.1314447523172,9.6073986284652,0.3505901621562,0,NA,45.039481611719,79.7626114023499,8.93099162480572
"32",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2017,0.0738021153469765,16.6898914746826,1.5014094606248,0.0414273826627589,0,NA,18.3065304333171,65.6772022196363,8.10414722346752
"34",2018,0.665033801,24.547309586,6.786662247,0.02510052,0,NA,32.03013871,110.971542898431,10.5343031520092
"35",2019,0.2186772594664,8.90158683325325,8.90223079545846,0.42457570469489,0,NA,18.447070592873,24.5474807312572,4.95454142492089
"36",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2022,3.28836440111755,20.7564183512574,2.35178789479534,0.246500012913906,0.000428407028020232,NA,26.6434990671122,65.7842476384845,8.11074889504566
