project,sample_number,year,month,nafo_div,project_code,archive_lsm_number,length,sex,maturity,weight,stomach_fullness,age,fecundity,gonad
10,239,1979,10,31,10,1979239.002,130,2,2,,,2,,
10,239,1979,10,31,10,1979239.003,115,2,1,,,1,,
10,239,1979,10,31,10,1979239.006,122,2,1,,,1,,
10,239,1979,10,31,10,1979239.007,147,2,2,,,3,,
10,239,1979,10,31,10,1979239.009,158,1,2,,,2,,
10,239,1979,10,31,10,1979239.013,119,2,1,,,1,,
10,239,1979,10,31,10,1979239.014,140,1,2,,,2,,
10,239,1979,10,31,10,1979239.015,142,2,2,,,2,,
10,239,1979,10,31,10,1979239.018,157,2,2,,,2,,
10,239,1979,10,31,10,1979239.019,173,1,2,,,2,,
10,239,1979,10,31,10,1979239.024,142,2,2,,,2,,
10,239,1979,10,31,10,1979239.027,126,2,1,,,2,,
10,239,1979,10,31,10,1979239.029,161,2,2,,,2,,
10,239,1979,10,31,10,1979239.03,121,2,1,,,1,,
10,239,1979,10,31,10,1979239.031,150,1,2,,,2,,
10,239,1979,10,31,10,1979239.032,148,2,2,,,2,,
10,239,1979,10,31,10,1979239.04,128,1,1,,,2,,
10,239,1979,10,31,10,1979239.043,144,1,2,,,2,,
10,239,1979,10,31,10,1979239.052,153,1,2,,,2,,
10,239,1979,10,31,10,1979239.053,182,1,2,,,3,,
10,239,1979,10,31,10,1979239.054,129,1,1,,,2,,
10,239,1979,10,31,10,1979239.057,138,1,2,,,2,,
10,239,1979,10,31,10,1979239.058,131,1,2,,,2,,
10,239,1979,10,31,10,1979239.059,129,2,2,,,2,,
10,239,1979,10,31,10,1979239.062,150,2,2,,,2,,
10,239,1979,10,31,10,1979239.067,165,1,2,,,2,,
10,239,1979,10,31,10,1979239.088,152,2,2,,,2,,
10,239,1979,10,31,10,1979239.096,136,2,2,,,1,,
10,239,1979,10,31,10,1979239.101,173,1,2,,,2,,
10,239,1979,10,31,10,1979239.102,137,1,2,,,2,,
10,239,1979,10,31,10,1979239.103,191,2,2,,,6,,
10,239,1979,10,31,10,1979239.104,171,2,2,,,2,,
10,239,1979,10,31,10,1979239.106,148,1,2,,,2,,
10,239,1979,10,31,10,1979239.111,167,2,2,,,2,,
10,239,1979,10,31,10,1979239.112,165,1,2,,,2,,
10,239,1979,10,31,10,1979239.113,164,2,2,,,2,,
10,239,1979,10,31,10,1979239.117,157,2,2,,,3,,
