year,I2,I3,I4,I5,I
1985,369470,80470,3790,2290,456020
1986,59370,158060,21290,710,239430
1987,88110,18250,38900,3890,149150
1988,380210,65640,9720,15070,470640
1989,314550,96030,11100,430,422110
1990,352580,168810,55670,1800,578860
1991,7680,3220,480,60,11440
1992,18960,6500,740,40,26240
1993,NA,NA,NA,NA,NA
1994,NA,NA,NA,NA,NA
1995,NA,NA,NA,NA,NA
1996,2960,1670,70,NA,4700
1997,NA,NA,NA,NA,NA
1998,NA,NA,NA,NA,NA
1999,4900.89,7314.68,403.94,2.68,12622.19
2000,6123.7,1308.25,428.9,41.24,7902.09
2001,6270.03,3219.04,287.83,60.13,9837.03
2002,3079.57,2083.85,250.73,24.76,5438.91
2003,4415.67,2579.13,452.91,8.67,7456.38
2004,8911.04,2233.76,422.95,NA,11567.75
2005,2613.46,2256.5,447.53,68.27,5385.76
2006,NA,NA,NA,NA,NA
2007,11425.86,4557.8,396.2,0.69,16380.55
2008,9887.06,6794.05,752.62,24.6,17458.33
2009,18711.83,6207.63,487.61,10.07,25417.14
2010,1170.73,603.23,11.45,0.56,1785.97
2011,12653.5,4665.57,596.3,39.59,17954.96
2012,19142.73,2335,220.48,NA,21698.21
2013,26033.99,19671.55,875.1,27.71,46608.35
2014,90908.87,14831.83,2859.46,292.69,108892.85
2015,35506.53,12821.85,645.26,NA,48973.64
2016,NA,NA,NA,NA,NA
2017,16500.74,1510.38,37.71,NA,18048.83
2018,24584.03,6890.84,28.76,NA,31503.63
2019,8983.01,8930.25,400.44,NA,18313.7
2020,NA,NA,NA,NA,NA
2021,30311.83,865.35,NA,NA,31177.18
