"","year","I2","I3","I4","I5","I","var","sd"
"1",1985,369470,80470,3790,2290,456020,NA,NA
"2",1986,59370,158060,21290,710,239430,NA,NA
"3",1987,88110,18250,38900,3890,149150,NA,NA
"4",1988,380210,65640,9720,15070,470640,NA,NA
"5",1989,314550,96030,11100,430,422110,NA,NA
"6",1990,352580,168810,55670,1800,578860,NA,NA
"7",1991,7680,3220,480,60,11440,NA,NA
"8",1992,18960,6500,740,40,26240,NA,NA
"9",1993,NA,NA,NA,NA,0,NA,NA
"10",1994,NA,NA,NA,NA,0,NA,NA
"11",1995,NA,NA,NA,NA,0,NA,NA
"12",1996,2960,1670,70,NA,4700,NA,NA
"13",1997,NA,NA,NA,NA,0,NA,NA
"14",1998,NA,NA,NA,NA,0,NA,NA
"15",1999,6535.615959,6955.395001,675.5746814,0,14166.5856414,32921656.620161,5737.73967866799
"16",2000,5640.205257,1333.65156,396.9860318,52.78702675,7423.62987555,11193245.5775125,3345.63081907022
"17",2001,6790.288804,2964.896547,302.9699903,13.02046709,10071.17580839,18819077.5891065,4338.09607882381
"18",2002,3130.773248,2217.966609,287.2771902,17.60051216,5653.61755936,5299158.31814242,2301.99007776802
"19",2003,5113.266605,1535.579014,432.8771182,0,7081.7227372,9680260.06670542,3111.31163124259
"20",2004,8437.513639,2292.622137,439.0465609,0,11169.1823369,25397660.3422488,5039.60914578193
"21",2005,2697.661391,2286.99048,487.9713845,49.53616514,5522.15942064,4711780.31831073,2170.66356635724
"22",2006,NA,NA,NA,NA,NA,NA,NA
"23",2007,19314.59369,3522.305645,318.5633632,0,23155.4626982,123199184.909127,11099.5128230534
"24",2008,9594.894247,6816.662232,774.3785093,6.816931758,17192.751920058,49561682.9648612,7040.00589238824
"25",2009,18122.81833,6074.885691,493.7329164,0,24691.4369374,121879491.045089,11039.9044853246
"26",2010,1166.023322,604.7768648,12.91934082,0,1783.71952762,590465.85591376,768.417761321119
"27",2011,12643.98278,4691.740933,585.9616539,49.48599564,17971.17136254,61705283.3688214,7855.27105635581
"28",2012,16254.96853,1950.074557,163.9281824,0,18368.9712694,83884371.5593357,9158.84116902
"29",2013,25001.03939,18531.12608,832.9054814,0,44365.0709514,340700060.004671,18458.0621952758
"30",2014,80202.37777,7665.069286,923.9655081,0,88791.4125641,2017202847.10169,44913.2814109779
"31",2015,22838.88739,9386.355287,344.0888874,NA,32569.3315644,203278946.649775,14257.5925965703
"32",2016,NA,NA,NA,NA,NA,NA,NA
"33",2017,16689.89147,1501.409461,41.42738266,NA,18232.72831366,93602807.959331,9674.85441540755
"34",2018,24547.30959,6786.662247,25.10052,NA,31359.072357,216209940.866088,14704.0790553536
"35",2019,8901.586833,8902.230795,424.5757047,NA,18228.3933327,52889408.6006356,7272.51047442598
"36",2020,NA,NA,NA,NA,NA,NA,NA
"37",2021,7498.950345,200.0760619,NA,NA,7699.0264069,18257975.4179699,4272.93522276783
"38",2022,20756.41835,2351.787895,246.5000129,0.428407028,23355.134664928,136378258.62664,11678.110233537
