"","year","c2","c3","c4"
"1",1984,NA,NA,NA
"7",1985,125.043,749.113,274.095
"8",1986,4.32,1267.346,704.965
"9",1987,23.155,127.496,606.325
"10",1988,207.241,1403.464,394.583
"2",1989,NA,NA,NA
"11",1990,28.154,1107.255,1613.034
"3",1991,0,0,0
"4",1992,0,0,0
"12",1993,198.052,868.504,614.219
"13",1994,3.266,583.905,227.288
"14",1995,0,0,0
"15",1996,16.485,23.521,6.42
"110",1998,676.77,668.4,72.37
"26",1999,338.3,435.96,45.49
"31",2000,281.92,319.87,91.14
"41",2001,420.57,409.85,61.16
"5",2002,268.57,222.06,30.23
"6",2003,544.99,287.79,47.12
"71",2004,635.88,601.9,77.59
"81",2005,330.73,654.09,138.69
"91",2006,721.96,511.51,148.32
"101",2007,565.04,588.61,166.95
"111",2008,448.91,731.64,100.19
"121",2009,807.07,560.85,40.25
"131",2010,367.82,417.74,12.29
"141",2011,425.45,569.71,74.08
"151",2012,517.59,470.84,69.6
"16",2013,370.19,603.49,27.1
"17",2014,32.05,601.82,112.66
"18",2015,153.76,691.75,60.89
"19",2016,253.3,972.79,94.06
"20",2017,902.18,262.82,8.83
"21",2018,459.23,461,8.42
"22",2019,354.93,499.1,51.67
"23",2020,352.34,198.27,36.27
"24",2021,345.25,219.91,25.08
"25",2022,440.616666666667,498.407083333333,66.6854166666667
