year,stratum,age,mean.wt,weight,abundance,abun_LL,abun_UL,biomass,bio_LL,bio_UL,prop_mat,mature,prop_mat_LL,prop_mat_UL
1999,T,Unknown,5.3,12.07,0,0,0,0,0,0,0.5,0,0,0
1999,T,2,5.3,7.59,3600.453509,912.9258217,7636.729038,27327.44213,6929.106987,57962.7734,0.21,756.0952368,191.7144226,1603.713098
1999,T,3,5.3,13.97,409.1424442,103.7415706,867.8101179,5715.719945,1449.269742,12123.30735,0.8,327.3139553,82.99325652,694.2480943
1999,T,4,5.3,15.94,40.91424442,10.37415706,86.78101179,652.173056,165.3640636,1383.289328,1,40.91424442,10.37415706,86.78101179
2000,T,2,6.9,10.79,10696.90231,5202.203806,17383.80084,115419.576,56131.77907,187571.2111,0.72,7701.769666,3745.58674,12516.33661
2000,T,3,6.9,18.44,2166.461228,1053.610897,3520.769791,39949.54505,19428.58495,64922.99495,0.98,2123.132004,1032.538679,3450.354395
2000,T,4,6.9,16.77,677.0191338,329.2534054,1100.24056,11353.61087,5521.579609,18451.03419,1,677.0191338,329.2534054,1100.24056
2000,T,5,6.9,21.8,135.4038268,65.85068109,220.0481119,2951.803423,1435.544848,4797.04884,1,135.4038268,65.85068109,220.0481119
2001,T,Unknown,13.1,1.99,0,0,0,0,0,0,0,0,0,0
2001,T,1,13.1,1.84,350.080935,113.5900697,1174.962041,644.1489204,209.0057282,2161.930155,0,0,0,0
2001,T,2,13.1,6.61,3617.502995,1173.764053,12141.27442,23911.6948,7758.580393,80253.82394,0.38,1374.651138,446.0303403,4613.684281
2001,T,3,13.1,17.89,1517.017385,492.2236353,5091.502177,27139.44102,8805.880836,91086.97396,1,1517.017385,492.2236353,5091.502177
2001,T,4,13.1,18.74,291.7341125,94.65839141,979.1350341,5467.097268,1773.898255,18348.99054,1,291.7341125,94.65839141,979.1350341
2001,T,5,13.1,23.05,0,0,0,0,0,0,1,0,0,0
2002,T,Unknown,6,1.61,130.522697,96.2612522,181.9504225,210.1415422,154.980616,292.9401802,0,0,0,0
2002,T,1,6,1.13,186.4609957,137.5160746,259.9291749,210.7009251,155.3931643,293.7199677,0,0,0,0
2002,T,2,6,5.9,932.3049785,687.5803728,1299.645875,5500.599373,4056.7242,7667.910661,0.37,344.9528421,254.4047379,480.8689737
