"year","med.abund.fran","low.abund.fran","up.abund.fran","med.bm.fran","low.bm.fran","up.bm.fran","med.mat.abund.fran","low.mat.abund.fran","up.mat.abund.fran","med.mat.bm.fran","low.mat.bm.fran","up.mat.bm.fran"
1999,14697.03209295,9394.73825499,28785.14405666,190040.240389751,122113.975382545,370474.926224509,10356.6442774071,6622.7028651858,20221.9993568944,152186.075730099,97218.6300521602,297404.042945271
2000,8024.2457234636,6539.1889919401,10048.3984136075,86946.3750335062,70582.3170404674,109833.948207576,4293.0879925495,3500.86415055901,5427.40591286965,57565.1183073217,47068.3589283505,73064.8303566508
2001,10073.3275873296,6752.3494271171,30579.7891985304,122327.279531854,82478.2897788023,376970.101383342,6521.51599575265,4417.85641669534,22090.0775571405,90928.9024885578,61690.4087249258,298784.374133982
2002,6255.751387375,5188.0228559138,8228.8134856685,77888.9090938551,65062.6436123687,101984.169063711,4664.5769462363,3887.83862717417,6139.59196880094,63886.0129087157,53569.7490732427,83811.8386567079
2003,9288.6975226248,6713.635725116,16857.7955599883,106557.615148408,78357.8229889391,185984.797519899,5970.55904539153,4386.19160228958,10249.2064121545,86809.8559075865,64376.2572101754,147262.373678068
2004,11184.13507814,9047.406816235,19772.9097467772,113778.746042126,92396.9596224586,195248.711800566,6390.31012182543,5184.26873741887,11186.6387515317,78012.6074128467,63645.6128927999,131661.940231448
2005,6153.5309821674,3815.4261748873,24178.5372380076,95660.9452421083,61915.1933853743,323539.642737328,4902.29560194168,3128.02068180335,17405.6090359861,86290.1857273554,55823.7605656766,295359.404912731
2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,28134.6575401025,21930.893521095,44441.1531022,250475.661839152,195684.241795692,391773.308592785,12007.5649202348,9309.72935954545,19440.3489999945,139271.088707268,108228.924591992,223496.178873104
2008,21453.3164909176,17277.7589415463,33253.2931414056,253229.841515745,202633.016645035,420611.807876383,12863.8225634384,10250.4986361241,21575.4986999225,199864.628625147,159055.310138043,344998.732984147
2009,28344.353622801,24864.122531224,37297.539971465,251421.956180924,220118.916210435,332308.816339688,17178.7076290322,15017.6078894682,23265.0040690952,184395.732465528,161145.856768986,247110.947132219
2010,1971.3351531862,1140.9206530375,4993.75454661,22070.9212205388,12992.0821756241,57610.0433010771,1445.88249740788,845.852210432368,3774.59953541375,18098.4878131603,10689.8755941441,48271.3064678101
2011,19290.3322235543,14471.9435053296,29793.440548284,202088.994910431,153539.585581651,303708.666116273,11681.3092042166,8896.51169207461,17643.1587974407,143436.439210908,109653.603673491,212104.533158216
2012,18930.5115152197,15191.7330220752,46450.1425706705,174037.459684547,140617.389482841,387834.972011245,8989.86226445062,7308.27886749638,18000.1526834022,99213.4728056806,81216.713701932,178896.173887287
2013,50668.6072887028,34496.6562173296,77899.8675848908,667626.21880522,466434.550936753,1013077.6117133,26403.3513565388,18681.7917141449,39839.0022976319,478455.594353716,341078.577144236,718807.364193546
2014,106819.341418679,92151.4834640314,126322.012967701,779518.775491332,666752.718111261,936364.041531205,21590.5407935506,18089.7887710828,26662.0652455368,256822.629828188,214817.377571063,319770.42281447
2015,45039.481611719,35052.2006004954,61075.552130698,366688.179346841,291145.076243677,485211.871619764,15367.1875030832,11952.876859947,20970.6088349479,223159.25456164,180032.187053528,290634.583599728
2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,18306.5304333171,15555.2604304147,24771.0925547411,133075.623901517,114207.53885129,172895.77798806,7110.7078043105,6123.84238703806,8987.43896735466,62921.183820739,54271.8902684985,79172.1184358923
2018,32030.13871,27024.80614,52883.667272,288879.42891754,244173.15895514,472414.2383396,14150.83564156,11943.21211116,23105.32557021,162198.818367488,137526.256744576,262390.421136293
2019,18447.070592873,15424.401819358,23339.132323526,282363.468893991,237902.950779932,354706.062179115,16367.5195455084,13726.1318458039,20672.0856011761,260331.303941442,219525.908320884,326978.344276324
2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,0,0,0,0,0,0,0,0,0,0,0,0
2022,26643.4990671122,17871.0313009737,45318.8430786055,262010.886988072,177064.817017451,448798.029039627,14522.1123639956,9827.8834130107,25388.1993521454,164508.529051829,112345.666577093,287866.140561093
