year,stratum,age,abundance,prop_age,mature,prop_mat,biomass,length,weight
1999,A,Unknown,12.39,0,0,0,59.45,110.83,4.8
1999,A,1,652.75,0.16,0,0,625.3,72.41,0.96
1999,A,2,1920.98,0.47,1313.68,0.68,22346.74,140.56,11.63
1999,A,3,1380.62,0.34,1352.22,0.98,25166.26,158.46,18.23
1999,A,4,114.99,0.03,114.47,1,2260.53,162.95,19.66
1999,B,Unknown,976.6,0.12,40.69,0.04,5688.87,121.56,5.83
1999,B,2,1658.19,0.21,946.08,0.57,12894.85,130.87,7.78
1999,B,3,5015.26,0.64,4852.49,0.97,84476.31,158.87,16.84
1999,B,4,223.8,0.03,223.8,1,4616.59,170.91,20.63
1999,D,2,1321.72,0.57,380.88,0.29,11868.71,134.24,8.98
1999,D,3,918.8,0.4,861.99,0.94,16314.72,160.14,17.76
1999,D,4,65.15,0.03,65.15,1,1235.7,164.2,18.97
1999,D,5,2.68,0,2.68,1,61.66,174.77,23.01
2000,A,1,410.82,0.08,0,0,218.69,58.73,0.53
2000,A,2,3310.95,0.65,1386.68,0.42,29050.32,133.27,8.77
2000,A,3,1008.7,0.2,995.86,0.99,19385.51,164.44,19.22
2000,A,4,359.04,0.07,356.13,0.99,7348.22,168.94,20.47
2000,A,5,39.79,0.01,39.48,0.99,767.63,166.75,19.29
2000,D,2,2637.76,0.89,939.63,0.36,23904.41,134.42,9.06
2000,D,3,256.22,0.09,246.37,0.96,4977.42,162.35,19.43
2000,D,4,58.44,0.02,56.97,0.97,1194.44,166.17,20.44
2000,E,1,19.69,0.17,0,0,19.45,72.35,0.99
2000,E,2,70.3,0.61,60.47,0.86,838.05,142.3,11.92
2000,E,3,18.84,0.16,18.76,1,372.59,163.2,19.78
2000,E,4,5.93,0.05,5.93,1,114.86,163.58,19.36
2000,E,5,0.34,0,0.34,1,8.06,173.64,23.36
2000,F,1,17.34,0.11,0,0,13.18,67.78,0.76
2000,F,2,104.69,0.68,98.87,0.94,1276.32,144.46,12.19
2000,F,3,24.49,0.16,24.47,1,446.01,160.38,18.21
2000,F,4,5.49,0.04,5.49,1,106.35,164.9,19.37
2000,F,5,1.11,0.01,1.11,1,18.7,159.1,16.86
2001,A,Unknown,0.4,0,0,0,1.45,107.5,3.63
2001,A,2,56.11,0.65,53.31,0.95,662.3,143.5,11.8
2001,A,3,25.45,0.3,25.45,1,465.02,162.58,18.27
2001,A,4,3.81,0.04,3.81,1,74.88,168.82,19.67
2001,B,2,109.79,0.62,90.45,0.82,1255.47,139.3,11.43
2001,B,3,58.14,0.33,58.14,1,1084.1,162.45,18.65
2001,B,4,8.79,0.05,8.79,1,171.5,166.56,19.51
2001,B,5,0.88,0,0.88,1,20.14,177.5,22.91
2001,C,1,287.43,0.05,0,0,235.82,70.14,0.82
2001,C,2,2847.32,0.52,1595.78,0.56,26896.44,135.12,9.45
2001,C,3,2132.4,0.39,2122.42,1,41058.37,164.34,19.25
2001,C,4,230.84,0.04,230.84,1,4132.69,163.06,17.9
2001,C,5,27.15,0,27.15,1,607.45,175.44,22.38
2001,E,2,641.94,0.67,470.85,0.73,6524.9,137.93,10.16
2001,E,3,317.31,0.33,315.85,1,5519.16,160.26,17.39
2001,E,5,5.85,0.01,5.85,1,121.66,175,20.8
2001,F,Unknown,0.98,0.01,0.33,0.33,9.95,129.17,10.14
2001,F,2,100.88,0.77,37.44,0.37,814.07,130.28,8.07
