year,age1,age2,age3,age4,age5,age6,Unknown,age2PerMat,perAge2
1985,0.06,369.47,80.47,3.79,2.29,0.03,,2.9,81
1986,0,59.37,158.06,21.29,0.71,0.31,,0.7,24.8
1987,0,88.11,18.25,38.9,3.89,0.15,,5.9,59
1988,11.46,320.16,55.27,8.19,12.69,1.23,,2,78.3
1989,2.93,270.01,82.43,9.53,0.37,0.73,,7,73.8
1990,14.86,273.57,130.98,43.20,1.39,0.00,,3.9,59
1991,9.93,4.08,1.71,0.26,0.03,0.00,,5,25.5
1992,3.38,11.28,3.87,0.44,0.03,0.00,,5.2,59.4
1993,,,,,,,,,
1994,,,,,,,,,
1995,,,,,,,,,
1996,0.09,1.84,1.03,0.04,0.00,0.00,,25.3,61.2
1997,,,,,,,,,
1998,,,,,,,,,
