year,abundance_med,ab_lci,ab_uci
1985,456.11,NA,NA
1986,239.74,NA,NA
1987,149.3,NA,NA
1988,485.71,NA,NA
1989,426.37,NA,NA
1990,598.02,NA,NA
1991,30.130000000000003,NA,NA
1992,31.92,NA,NA
1993,0,NA,NA
1994,0,NA,NA
1995,0,NA,NA
1996,4.84,NA,NA
1997,0,NA,NA
1998,0,NA,NA
1999,14.71,9.389999999999999,28.8
2000,8.02,6.54,10.049999999999999
2001,10.06,6.75,30.58
2002,6.26,5.18,8.23
2003,9.29,6.72,16.85
2004,11.18,9.04,19.77
2005,6.16,3.82,24.18
2006,NA,NA,NA
2007,28.13,21.93,44.43
2008,21.46,17.28,33.25
2009,28.330000000000002,24.87,37.309999999999995
2010,1.97,1.15,4.99
2011,19.290000000000003,14.47,29.79
2012,18.93,15.2,46.45
2013,50.660000000000004,34.49,77.9
2014,106.82000000000001,92.15,126.32
2015,45.04,35.059999999999995,61.07
2016,NA,NA,NA
2017,18.3,15.55,24.77
2018,32.050000000000004,27.03,52.89
2019,18.44,15.41,23.34
2020,NA,NA,NA
2022,26.650000000000002,17.87,45.31
