year,biomass_med,bm_lci,bm_uci
1982,446,NA,NA
1983,NA,NA,NA
1984,NA,NA,NA
1985,3426,NA,NA
1986,3697,NA,NA
1987,2576,NA,NA
1988,4285,3580,5180
1989,3712,3127,4505
1990,5783,4169,8354
1991,138,61,339
1992,138,115,175
1993,NA,NA,NA
1994,NA,NA,NA
1995,NA,NA,NA
1996,47,32,74
1997,NA,NA,NA
1998,NA,NA,NA
1999,190.04,122.13000000000001,370.46999999999997
2000,86.96,70.59,109.83000000000001
2001,122.33,82.48,376.96999999999997
2002,77.89,65.05,101.98
2003,106.56,78.36,185.99
2004,113.78999999999999,92.4,195.25
2005,95.66,61.91,323.54
2006,NA,NA,NA
2007,250.48,195.69,391.78000000000003
2008,253.22,202.64000000000001,420.61
2009,251.42000000000002,220.12,332.31
2010,22.07,12.99,57.61
2011,202.09,153.55,303.72
2012,174.04,140.62,387.83
2013,667.63,466.43,1013.08
2014,779.52,666.75,936.36
2015,366.69,291.15000000000003,485.21
2016,NA,NA,NA
2017,133.07999999999998,114.21,172.89999999999998
2018,288.88,244.17000000000002,472.40999999999997
2019,282.35999999999996,237.89,354.7
2020,NA,NA,NA
2022,262.01,177.07,448.8
