"year","mat2","mat3","mat4","mat5","matureAbun"
1985,2.85544157847728,43.4571890145396,89.9736147757256,100,11.2297472101028
1986,0.707427993936331,36.770846513982,93.2832315641146,100,33.1275548510887
1987,5.913063216434,73.2602739726027,97.9177377892031,100,40.6162089752177
1988,1.64908866152915,64.2291285801341,83.5390946502058,83.6098208360982,14.4901278540693
1989,6.00858369098712,63.8654587108195,14.1441441441441,0,19.1875601003823
1990,3.0262635430257,40.0390972098809,74.6362493263876,77.2222222222222,20.2668807063309
1991,2.60416666666667,47.5155279503106,52.0833333333333,50,6.70428144706273
1992,3.11181434599156,53.2307692307692,59.4594594594595,75,14.1604010025063
1993,NA,NA,NA,NA,NA
1994,NA,NA,NA,NA,NA
1995,NA,NA,NA,NA,NA
1996,15.5405405405405,55.0898203592814,57.1428571428571,NA,29.3388429752066
1997,NA,NA,NA,NA,NA
1998,NA,NA,NA,NA,NA
1999,47.5535168195719,94.5402298850575,98.5294117647059,NA,70.4282800815772
2000,45.0354609929078,97.7443609022556,97.5,100,53.3665835411471
2001,48.3063328424153,98.9864864864865,100,100,64.8111332007952
2002,59.4285714285714,98.695652173913,100,100,74.6006389776358
2003,72.3311546840958,100,100,NA,62.3250807319699
2004,43.4834123222749,100,100,NA,57.2450805008945
2005,77.7777777777778,99.1266375545851,97.9591836734694,100,79.5454545454545
2006,NA,NA,NA,NA,NA
2007,42.5168306576903,98.8636363636364,96.875,NA,42.6590828297192
2008,54.8958333333333,99.5614035087719,100,100,59.9720410065238
2009,58.3333333333333,99.341021416804,100,NA,60.3247440875397
2010,70.9401709401709,100,100,NA,73.0964467005076
2011,51.1867088607595,97.6545842217484,100,100,60.6013478486262
2012,42.5230769230769,95.8974358974359,100,NA,47.2266244057052
2013,32.04,94.8192120885051,100,NA,52.1318594551915
2014,17.0448877805486,90.612777053455,100,NA,20.1647631529676
2015,16.6018158236057,91.2591050988554,94.2857142857143,NA,28.7300177619893
2016,NA,NA,NA,NA,NA
2017,33.4931096464949,98.6666666666667,100,NA,38.8524590163934
2018,31.1608961303462,95.2871870397643,100,NA,44.1497659906396
2019,80.2247191011236,98.876404494382,100,NA,88.7201735357917
2020,NA,NA,NA,NA,NA
2022,55.8766859344894,98.2978723404255,100,NA,53.1332082551595
