year,division,gear,age1,age2,age3,age4,age5,age6
1997,3K,Mobile,0,11286,62165,8363,172,0
1997,3K,Fixed,0,7968,32799,2629,74,0
1997,3K,Fixed,0,26699,127295,11808,99,64
1997,3I,Mobile,0,125012,201327,9793,0,0
1997,3L,Fixed,0,624,1725,60,0,0
1997,3L,Fixed,0,152528,196918,21502,390,0
1994,3K,Fixed,0,244,71517,25097,1222,1465
1994,3K,Mobile,0,299,151791,47887,2787,3286
1994,3K,Fixed,0,2723,360597,154304,6778,8149
1996,3K,Fixed,1,16485,23521,6420,1000,9
1995,No commercial Samples,,,,,,,
1993,3L,Fixed,0,1409,7280,2057,214,43
1993,3L,Mobile,0,32795,199416,137253,21975,151
1993,3L,Fixed,0,126329,281246,155000,22031,678
1993,3K,Fixed,0,5200,51537,56120,6722,0
1993,3K,Mobile,0,1064,13517,10821,2181,23
1993,3K,Fixed,0,31255,315508,252968,44405,259
1990,3L,Fixed,0,19,2906,4510,0,0
1990,3L,Mobile,0,11090,239597,269759,8578,440
1990,3L,Fixed,0,14520,460657,594169,21100,137
1990,3K,Fixed,0,426,52694,69073,2029,0
1990,3K,Mobile,0,610,119653,218226,3285,0
1990,3K,Fixed,0,1489,231748,457297,7935,0
1988,3L,Mobile,0,56311,346446,94472,109655,6850
1998,3L,Fixed,0,413,15426,3747,3997,352
1988,3L,Fixed,0,139876,664876,155906,135412,7520
1998,3K,Fixed,0,6247,74448,18545,14280,1408
1988,3K,Mobile,0,3232,165420,58995,49118,2423
1988,3K,Fixed,0,7822,226722,85210,69096,3791
1987,3L,Fixed,0,88,1281,8672,602,59
1987,3L ,Mobile,0,6590,35667,130961,8815,95
1987,3L,Fixed,0,16185,64969,270517,19953,945
1987,3K,Fixed,0,108,15454,100172,9027,687
1987,3K,Fixed,0,103,5492,39122,2747,121
1987,3K,Mobile,0,81,4633,56881,3224,0
1986,3L,Mobile,0,1172,488272,233688,17926,4705
1986,3L,Fixed,0,3028,518636,316910,22235,6142
1986,3L,Fixed,0,0,19503,12997,831,187
1986,3K,Mobile,0,0,92407,49080,3328,962
1986,3K,Fixed,0,67,48119,29683,1579,387
1986,3K,Fixed,0,53,100409,62607,4415,1565
1985,3K,Fixed,0,135,14564,8802,3280,106
1985,3K ,Mobile,0,2317,88525,39908,17304,528
1985,3K,Fixed,0,1320,45400,27798,9263,287
1985,3L,Mobile,0,47940,213053,71552,25177,1568
1985,3L,Fixed,0,1391,18324,7450,1559,94
1985,3L,Fixed,0,71940,369247,118585,30125,1932
1983,3K,Fixed,0,0,17429,10967,170,0
1983,3K,Mobile,0,0,23701,41243,1120,0
1983,3L,Mobile,0,13174,287491,150157,6609,286
1983,3L,Fixed,0,15952,204722,116720,3430,89
1982,3L,Fixed,0,7,10806,17342,11028,657
1982,3L,Mobile,0,0,198444,198587,180638,7945
1982,3L,Fixed,0,0,106596,100848,74584,4178
1982,3L,Fixed,0,37,12242,27801,4686,63
1982,3L,Mobile,0,0,132806,255946,0,0
1982,3L,Fixed,0,1205,109190,81767,2431,1082
