year,NAFO_div,sex,age,N_millions,proportion_age,N_mature_millions,prop_mat,weight_tonnes,length_mean_mm,weight_mean_g
1998,3K,Female,2,72.85,0.33,72.7,1,1143.73,141.28,15.7
1998,3K,Female,3,120.45,0.55,120.45,1,2393.28,152.78,19.87
1998,3K,Female,4,21.6,0.1,21.6,1,493.91,160.09,22.86
1998,3K,Female,5,3.23,0.01,3.23,1,84.99,168.5,26.33
1998,3K,Female,6,0.08,0,0.08,1,2.2,177.5,28.28
1998,3K,Male,2,47.11,0.23,47.09,1,1261.94,164.36,26.79
1998,3K,Male,3,151.26,0.73,151.18,1,4441.65,169.41,29.36
1998,3K,Male,4,8.97,0.04,8.97,1,276.3,172.09,30.79
1998,3L,Female,2,370.16,0.62,370.09,1,5392,141.4,14.57
1998,3L,Female,3,187.35,0.32,187.33,1,3317.26,150.55,17.71
1998,3L,Female,4,30.01,0.05,30.01,1,652.53,161.48,21.74
1998,3L,Female,5,6.07,0.01,6.07,1,142.57,166.94,23.47
1998,3L,Female,6,0.12,0,0.12,1,2.91,177.5,25.05
1998,3L,Male,2,186.65,0.46,185.42,0.99,4220.04,159.26,22.61
1998,3L,Male,3,209.34,0.51,209.06,1,5304.76,165.44,25.34
1998,3L,Male,4,11.79,0.03,11.79,1,314.93,168.58,26.71
1999,3K,Female,2,53.7,0.28,53.52,1,886.58,143.58,16.51
1999,3K,Female,3,117.56,0.6,117.55,1,2561.95,156.91,21.79
1999,3K,Female,4,21.71,0.11,21.71,1,557.27,165.38,25.66
1999,3K,Female,5,1.62,0.01,1.62,1,42.37,166.76,26.21
1999,3K,Male,2,19.93,0.19,19.05,0.96,504.94,164.18,25.34
1999,3K,Male,3,80.51,0.78,80.46,1,2449.5,173.62,30.42
1999,3K,Male,4,2.52,0.02,2.52,1,74.71,172.57,29.7
1999,3K,Male,5,0.8,0.01,0.8,1,23.67,172.5,29.69
1999,3L,Female,2,187.37,0.57,187.37,1,2895.1,141.6,15.45
1999,3L,Female,3,123.04,0.37,123.04,1,2518.71,154.5,20.47
1999,3L,Female,4,18.87,0.06,18.87,1,461.78,163.61,24.47
1999,3L,Female,5,0.67,0,0.67,1,17.24,167.68,25.73
1999,3L,Male,2,77.3,0.4,77.19,1,1867.1,161.06,24.16
1999,3L,Male,3,114.85,0.59,114.84,1,3345.33,171.17,29.13
1999,3L,Male,4,2.39,0.01,2.39,1,69.75,171.36,29.18
2000,3K,Female,2,50.75,0.49,50.75,1,757.72,141.48,14.93
2000,3K,Female,3,30.22,0.29,30.22,1,634.31,158.13,20.99
2000,3K,Female,4,21.72,0.21,21.72,1,526.35,166.36,24.23
2000,3K,Female,5,1.34,0.01,1.29,0.96,35.34,171.63,26.31
2000,3K,Female,6,0.05,0,0.05,1,1.51,182.5,29.54
2000,3K,Male,2,33.37,0.42,33.14,0.99,767.68,160.16,23.01
2000,3K,Male,3,41.6,0.53,41.59,1,1230.82,174.38,29.59
2000,3K,Male,4,3.66,0.05,3.66,1,117.26,179.34,32.02
2000,3L,Female,2,141.01,0.45,141.01,1,2085.86,142.68,14.79
2000,3L,Female,3,106.08,0.34,106.03,1,2300.75,160.78,21.69
2000,3L,Female,4,59.81,0.19,59.77,1,1478.09,167.8,24.71
2000,3L,Female,5,5.28,0.02,5.28,1,135.96,170.1,25.74
