year,area,minlats,tice
1969,122436.8691,48.88743091,125
1970,192374.7632,48.5304609,105
1971,274104.172,47.0507772,57
1972,309418.8024,46.04273265,150
1973,343116.4256,43.25842037,92
1974,287696.233,45.71347946,44
1975,330291.0432,44.91026326,71
1976,311628.1727,46.01558069,72
1977,224100.2246,46.2094852,86
1978,138067.4309,47.32737793,71
1979,214229.5299,46.20720357,56
1980,238670.0752,44.70217062,66
1981,199830.911,48.18267336,48
1982,190023.1897,47.27213129,56
1983,217163.7641,45.78562804,79
1984,340110.267,46.58137927,50
1985,348195.8349,42.97787468,79
1986,256451.1405,43.92458321,78
1987,198735.5914,44.65570225,70
1988,208451.0268,46.47692183,94
1989,269125.3644,45.69366504,72
1990,397360.8261,43.9937863,92
1991,337435.1354,43.10787025,91
1992,299761.6267,45.35794842,86
1993,323639.3755,44.6852805,95
1994,330605.2164,44.03088626,59
1995,261149.6072,44.9713257,65
1996,182818.2509,48.76406232,36
1997,249668.7775,45.42335432,76
1998,172850.4077,48.01289312,89
1999,137198.4193,48.06193665,60
2000,209112.1277,47.44442716,59
2001,175937.2965,46.69729134,85
2002,184976.1185,47.1632011,77
2003,242752.7967,44.69370055,90
2004,90295.63135,48.45630155,96
2005,187676.1353,47.17906299,87
2006,136135.7776,48.09625945,72
2007,139444.5164,47.77496115,64
2008,222849.0917,44.96399841,98
2009,240666.9571,45.4304556,89
2010,69192.46681,49.78140083,39
2011,70659.23863,49.41893605,80
2012,170396.866,46.68383058,86
2013,106616.1081,49.12323,56
2014,289468.7022,45.16733147,76
2015,276372.2896,46.3425378,75
2016,244147.4824,46.89998534,81
2017,169231.1911,46.1073663,93
2018,206916.0788,46.86626769,57
2019,223302.4035,46.00055962,70
2020,154790.486,47.57663451,90
2021,90619.87993,49.19127046,81
