"year","age","med.abund.age.fran","low.abund.age.fran","up.abund.age.fran","med.bm.age.fran","low.bm.age.fran","up.bm.age.fran","med.mat.abund.age.fran","low.mat.abund.age.fran","up.mat.abund.age.fran","med.mat.bm.age.fran","low.mat.bm.age.fran","up.mat.bm.age.fran"
1999,"1",530.4464516169,192.7914860781,1395.5253818688,509.228593552224,185.079826634976,1339.70436659405,0,0,0,0,0,0
1999,"2",6535.6159590366,4064.6683460046,13159.090976214,61976.5481884673,36787.455274103,129260.512646651,3106.49110749536,1754.721064493,6669.96462024132,30925.4316461861,16505.5576536329,68809.2961305192
1999,"3",6955.3950009234,4675.667459157,12995.0195484544,115732.102293125,77175.4340352777,217954.943484241,6579.69094553332,4410.25412820755,12324.8134439707,109524.427669667,72812.4996098146,206814.614635599
1999,"4",675.5746813731,461.6109637503,1235.5081501228,11822.3613146069,7966.00624652887,21919.7657270228,670.462224378408,457.727672485248,1227.22129268242,11736.2164142464,7900.57278871275,21780.1321791524
1999,"5",0,0,0,0,0,0,0,0,0,0,0,0
1999,"Unknown",0,0,0,0,0,0,0,0,0,0,0,0
2000,"1",600.6158474339,524.4760364551,716.0651743475,376.419134029548,327.012930982259,453.836452441009,0,0,0,0,0,0
2000,"2",5640.2052573996,4536.9852787383,7095.7364231139,51979.3446175691,41585.2047675071,65928.6637986933,2544.83260080218,2049.89143211926,3236.25728026817,23650.3003430821,18912.9257392099,30486.0739618035
2000,"3",1333.6515600712,1097.5808172572,1689.9976255102,25416.7562182723,20913.7378059429,32307.3810583176,1302.84272095821,1074.53707003713,1649.74790071652,24830.0636139018,20474.903080056,31540.9198078997
2000,"4",396.9860318068,333.805507953,484.4278992942,8175.14788299109,6878.72907609006,9970.43696267992,393.138464365336,330.548623625742,479.821053578274,8095.78049952506,6811.52077103724,9875.43546690795
2000,"5",52.7870267521,46.3413515365,62.1712913417,998.707180644246,877.632459945042,1173.62993544424,52.27420642378,45.887024776879,61.579678306685,988.973850812732,869.009338047435,1162.40112003966
2000,"Unknown",0,0,0,0,0,0,0,0,0,0,0,0
2001,"1",0,0,0,0,0,0,0,0,0,0,0,0
2001,"2",6790.2888044669,4549.3176920814,20562.8081085235,60694.9435322409,40996.9510646623,195315.104147214,3275.51662570168,2238.2377658696,12144.514705618,29958.9233614231,20632.8402940944,118329.808115146
2001,"3",2964.8965474624,1990.4017430731,9357.0577812126,55627.5019926544,37448.5063501852,168971.464186763,2929.89306700722,1968.2683268748,9293.61592912886,54983.8537457124,37036.5940229112,167828.879224824
2001,"4",302.9699902541,202.1358544647,492.8944433779,5722.50405810429,3834.61528880647,9344.63498786769,302.6559577598,201.88354559859,492.466926037384,5715.15883806261,3828.71378442815,9334.63535727302
2001,"5",13.0204670925,9.2667815467,157.7305990103,266.607578498306,190.232655882746,3273.31254765133,13.0204670925,9.2667815467,157.7305990103,266.607578498306,190.232655882746,3273.31254765133
2001,"Unknown",2.1517780537,1.2273559512,9.2982664061,15.722370355868,7.984419265668,65.585513846404,0.429878191446,0.199996805646,1.749397345938,4.35896486126244,2.02796760925044,17.7388890878113
2002,"1",109.206379024,93.301158672,137.821574568,205.30799256512,175.40617830336,259.10456018784,0,0,0,0,0,0
2002,"2",3165.1983602081,2593.8973436409,4202.4095097294,30088.2982790206,24707.8233585473,39677.146851223,1878.0168134359,1536.19926883446,2515.32229609036,18386.4217014866,15079.954600261,24453.8630803582
2002,"3",2226.3549318147,1887.9001818749,2913.5911683645,36805.1519638067,31242.1484134958,48271.7831756965,2197.28591335907,1862.84768970603,2875.98187705507,36330.0680717739,30831.6973126838,47657.7146689127
2002,"4",287.9608501754,243.3945865248,380.4986182314,5187.59191841163,4414.52364595566,6822.66026584407,287.54723510003,243.07664753448,379.75234476801,5180.67627435144,4409.20770603751,6810.18257353619
2002,"5",17.6005121633,14.6421108532,23.6516131747,369.6367933472,304.88626389568,501.94486016332,17.6005121633,14.6421108532,23.6516131747,369.6367933472,304.88626389568,501.94486016332
2002,"Unknown",27.2142031395,11.787043398,55.9884561405,93.344716768485,40.42955885514,192.040404561915,0,0,0,0,0,0
2003,"1",1775.6439522917,1239.1894278612,3573.2433323806,3731.22410786233,2598.21507404639,7522.37469157969,0,0,0,0,0,0
2003,"2",5113.2666051338,3735.6421092785,9199.2197884189,56768.4485555961,41793.6670646834,100157.24283619,3870.73967588776,2864.7610764546,6756.89316138201,44138.58688963,32864.8461699558,75652.1631205071
2003,"3",1535.5790136893,1113.0289182267,2486.7011270098,28661.8581901391,20736.9803709777,46322.8297985658,1535.5790136893,1113.0289182267,2486.7011270098,28661.8581901391,20736.9803709777,46322.8297985658
2003,"4",432.87711817,321.1711439196,739.255558399,7168.28711130166,5284.8258387524,12207.8495099326,432.87711817,321.1711439196,739.255558399,7168.28711130166,5284.8258387524,12207.8495099326
2003,"5",0,0,0,0,0,0,0,0,0,0,0,0
2003,"Unknown",431.33083334,304.60412583,859.37575378,4865.4118000752,3435.9345393624,9693.7585026384,172.532333336,121.841650332,343.750301512,1946.16472003008,1374.37381574496,3877.50340105536
2004,"1",14.16575457,10.43792442,22.3669809,16.7155903926,12.3167508156,26.393037462,0,0,0,0,0,0
2004,"2",8445.2471449074,6797.7016935798,15228.8616380274,67105.4311000398,54017.9286473229,118251.212207361,3669.61602186984,2948.63602594835,6668.88543590128,31440.2729926372,25348.887457239,54834.3230386436
2004,"3",2293.1157655238,1883.2588236651,3825.9946914962,39329.2015168589,32351.3261042196,64792.9064104801,2285.60319084002,1877.68526762055,3806.28124962782,39205.2921109227,32259.2732976422,64469.858142037
