Year,Larval densities_ind_m-3,SE_AUC
2001,752.86,197.0162575
2002,1030.82,315.6015286
2003,577.82,199.8808639
2004,605.77,209.6292426
2005,2736.14,880.4302888
2006,2245.64,549.8503863
2007,3699.52,1153.586236
2008,1898.81,757.1517611
2009,1881.47,572.5259707
2010,1275.89,625.164017
2011,2620.22,1176.479035
2012,2867.48,1603.609056
2013,3770.14,2072.946893
2014,704.71,206.9444732
2015,1027.909717,368.7460542
2016,415.9986839,118.1070528
2017,1119.030248,467.3964733
2018,129.1740518,33.16331279
2019,398.8505513,99.89914139
2020,115.51,38.40652117
2021,398.5057786,105.7668287
2022,1321.453192,387.7001161
