,year,abundance,ssb,abundance_tp2
1,1985,369.47,772.1211724,88.11
2,1986,59.37,1572.330908,320.16
3,1987,88.11,1825.656854,270.01
4,1988,320.16,1875.789714,273.57
5,1989,270.01,1205.96128,4.08
6,1990,273.57,2400.570047,11.28
7,1991,4.08,34.88054026,
8,1992,11.28,72.7812915,
9,1993,,NA,
10,1994,,NA,1.84
11,1995,,NA,
12,1996,1.84,23.09489625,
13,1997,,NA,6.54
14,1998,,NA,5.64
15,1999,6.54,152.1860758,6.79
16,2000,5.64,57.5651183,3.5
17,2001,6.79,90.92454353,4.59
18,2002,3.5,59.84166593,8.44
19,2003,4.59,79.96873219,2.7
20,2004,8.44,78.00725747,NA
21,2005,2.7,86.28058537,19.31
22,2006,NA,NA,9.6
23,2007,19.31,139.2710887,18.12
24,2008,9.6,199.2803026,1.17
25,2009,18.12,184.0487697,12.64
26,2010,1.17,18.09352426,16.25
27,2011,12.64,143.4364392,25
28,2012,16.25,98.7369993,80.2
29,2013,25,478.4555944,23.13
30,2014,80.2,256.6009052,NA
31,2015,23.13,179.4813353,16.69
32,2016,NA,NA,24.55
33,2017,16.69,62.92118383,8.9
34,2018,24.55,162.1988184,NA
35,2019,8.9,260.3313039,
36,2020,NA,NA,20.76
37,2021,,NA,NA
38,2022,20.76,162.2131488,NA
