3L Spring acoustic survey,,,,,,,
OFFSHORE (3L),,Age 1,Age 2,Age 3,Age 4,Age 5,Age 6
No (billions),1985,0.06,369.47,80.47,3.79,2.29,0.03
No (billions),1986,0,59.37,158.06,21.29,0.71,0.31
No (billions),1987,0,88.11,18.25,38.9,3.89,0.15
No (billions),1988,13.61,380.21,65.64,9.72,15.07,1.46
No (billions),1989,3.41,314.55,96.03,11.1,0.43,0.85
No (billions),1990,19.16,352.58,168.81,55.67,1.8,0
No (billions),1991,18.69,7.68,3.22,0.48,0.06,0
No (billions),1992,5.68,18.96,6.5,0.74,0.04,
No (billions),1993,,,,,,
No (billions),1994,,,,,,
No (billions),1995,,,,,,
No (billions),1996,0.14,2.96,1.67,0.07,,
No (billions),1997,,,,,,
No (billions),1998,,,,,,
No (billions),1999,0.857,8.208,7.279,0.652,0.004,0
No (billions),2000,0.315,8.457,1.648,0.475,0.043,0
No (billions),2001,0.045,6.709,2.819,0.3,0.048,0
No (billions),2002,0.137,3.281,2.532,0.351,0.026,0
No (billions),2003,2.49,3.991,1.232,0.394,0,0
No (billions),2004,0.016,8.587,2.643,0.465,0,0
No (billions),2005,0.531,2.91,2.43,0.494,0.068,0
No (billions),2006,,,,,,
No (billions),2007,2.894,15.614,5.184,0.769,0.021,
No (billions),2008,4.326,9.976,6.945,0.73,0.028,0
No (billions),2009,3.652,18.546,5.509,0.389,0.013,0
No (billions),2010,0.189,1.19,0.64,0.012,0.001,0
No (billions),2011,2.3,10.6,5.2,0.8,0,0
No (billions),2012,2.6,18.4,2.3,0.2,0,0
No (billions),2013,7.02,26.03,19.67,0.88,0.03,0
No (billions),2014,12.73,91.16,14.87,2.87,0.29,0
No (billions),2015,13,35.05,13.69,0.88,0,0
No (billions),2016,,,,,,
No (billions),2017,0.28,16.46,1.67,0.08,0,0
No (billions),2018,0.82,24.91,6.45,0.01,0,0
