Year,Climate index
1950,
1951,0.34
1952,0.18
1953,0.25
1954,-0.2
1955,0.25
1956,0.03
1957,-0.58
1958,0.33
1959,-0.36
1960,0.29
1961,0.15
1962,0.25
1963,0.3
1964,-0.14
1965,0.35
1966,0.92
1967,-0.01
1968,0.59
1969,0.48
1970,0.05
1971,0.14
1972,-1.3
1973,-0.79
1974,-0.54
1975,-0.34
1976,0.09
1977,0.13
1978,-0.14
1979,0.01
1980,0.26
1981,0.58
1982,-0.68
1983,-0.81
1984,-1.29
1985,-1.09
1986,-0.4
1987,-0.4
1988,-0.32
1989,-0.69
1990,-1.04
1991,-1.38
1992,-1.01
1993,-1.34
1994,-0.86
1995,-0.65
1996,0.26
1997,-0.35
1998,-0.01
1999,0.35
2000,0.19
2001,0.29
2002,-0.21
2003,-0.1
2004,0.58
2005,0.35
2006,0.72
2007,-0.07
2008,-0.24
2009,-0.36
2010,1.25
2011,1.1
2012,0.22
2013,0.66
2014,-0.39
2015,-0.59
2016,-0.21
2017,-0.24
2018,0.34
2019,0.02
2020,0.57
2021,1.43
2022,0.73
