year,biomass_kt,lwr,upr
1982,446,,
1983,,,
1984,,,
1985,3426,,
1986,3697,,
1987,2576,,
1988,4285.049962,3579.569504,5179.999031
1989,3712.327803,3126.846404,4505.326078
1990,5782.824498,4168.592259,8353.573827
1991,137.8282961,61.4098249,339.1501918
1992,138.0189257,114.5003191,175.4789795
1993,,,
1994,,,
1995,,,
1996,47.44834973,32.12362204,74.1629705
1997,,,
1998,,,
1999,190.0402404,122.1139754,370.4749262
2000,86.94637503,70.58231704,109.8339482
2001,122.3272795,82.47828978,376.9701014
2002,77.88890909,65.06264361,101.9841691
2003,106.5576151,78.35782299,185.9847975
2004,113.778746,92.39695962,195.2487118
2005,95.66094524,61.91519339,323.5396427
2006,,,
2007,250.4756618,195.6842418,391.7733086
2008,253.2298415,202.6330166,420.6118079
2009,251.4219562,220.1189162,332.3088163
2010,22.07092122,12.99208218,57.6100433
2011,202.0889949,153.5395856,303.7086661
2012,174.0374597,140.6173895,387.834972
2013,667.6262188,466.4345509,1013.077612
2014,779.5187755,666.7527181,936.3640415
2015,366.6881793,291.1450762,485.2118716
2016,,,
2017,133.0756239,114.2075389,172.895778
2018,288.8794289,244.173159,472.4142383
2019,282.3634689,237.9029508,354.7060622
2020,,,
2021,,,
2022,262.010887,177.064817,448.798029
2023,331.2917566,234.524461,565.382322
