Year,Catch,
1972,45.592,
1973,137.284,
1974,175.413,
1975,176.034,
1976,245.898,
1977,171.805,
1978,79.653,
1979,23.804,
1980,20.594,
1981,36.439,
1982,40.887,
1983,39.34,
1984,57.747,
1985,49.654,
1986,76.988,
1987,59.605,
1988,97.166,
1989,101.961,
1990,140.302,
1991,42.699,
1992,18.271,
1993,36.047,
1994,0.96,
1995,0.116,
1996,25.749,
1997,12.794,
1998,29.368,
1999,18.29,
2000,15.893,
2001,18.922,
2002,11.3,
2003,17.337,
2004,27.408,
2005,25.317,
2006,29.799,
2007,29.357,
2008,28.216,
2009,23.19,
2010,15.471,
2011,20.104,
2012,22.298,
2013,23.755,
2014,23.175,
2015,23.065,
2016,27.708,
2017,19.936,
2018,19.755,
2019,20.501,
2020,20,placeholder
2021,20,placeholder
2022,20,placeholder
2023,20,placeholder
2024,20,placeholder
